pcode,name,storm_id,pcpout_mm,rain_geotiff_mm,diff_mm,diff_pct
BB01,Christ Church,sample_0135,434.41,436.33,1.92,0.44
BB01,Christ Church,sample_0136,384.74,390.75,6.01,1.56
BB01,Christ Church,sample_0137,530.99,539.12,8.13,1.53
BB01,Christ Church,sample_0138,101.86,103.98,2.12,2.08
BB01,Christ Church,sample_0139,272.96,285.4,12.44,4.56
BB01,Christ Church,sample_0140,462.98,473.35,10.37,2.24
BB01,Christ Church,sample_0141,266.13,271.79,5.66,2.13
BB01,Christ Church,sample_0142,351.31,359.65,8.34,2.37
BB01,Christ Church,sample_0143,334.45,337.16,2.71,0.81
BB01,Christ Church,sample_0144,520.9,524.41,3.51,0.67
BB01,Christ Church,sample_0145,363.55,372.43,8.88,2.44
BB01,Christ Church,sample_0146,431.2,439.48,8.28,1.92
BB01,Christ Church,sample_0147,324.38,330.06,5.67,1.75
BB01,Christ Church,sample_0148,83.12,85.09,1.97,2.37
BB01,Christ Church,sample_0149,344.85,345.03,0.18,0.05
BB01,Christ Church,sample_0150,340.74,343.54,2.8,0.82
BB01,Christ Church,sample_0151,365.92,370.86,4.94,1.35
BB01,Christ Church,sample_0152,467.62,472.63,5.01,1.07
BB01,Christ Church,sample_0153,383.21,388.62,5.41,1.41
BB01,Christ Church,sample_0154,298.83,302.06,3.23,1.08
BB01,Christ Church,sample_0155,380.1,386.55,6.45,1.7
BB01,Christ Church,sample_0156,334.34,334.08,-0.26,-0.08
BB01,Christ Church,sample_0157,393.08,404.64,11.56,2.94
BB01,Christ Church,sample_0158,440.51,442.69,2.18,0.5
BB01,Christ Church,sample_0159,378.62,378.38,-0.24,-0.06
BB01,Christ Church,sample_0160,539.18,541.43,2.25,0.42
BB01,Christ Church,sample_0161,379.78,380.14,0.36,0.1
BB01,Christ Church,sample_0162,218.93,222.13,3.2,1.46
BB01,Christ Church,sample_0163,602.09,602.59,0.5,0.08
BB01,Christ Church,sample_0164,522.53,527.73,5.2,1.0
BB01,Christ Church,sample_0165,273.23,277.03,3.81,1.39
BB01,Christ Church,sample_0166,316.34,320.84,4.5,1.42
BB01,Christ Church,sample_0167,454.28,458.75,4.47,0.98
BB01,Christ Church,sample_0168,357.88,358.17,0.28,0.08
BB01,Christ Church,sample_0169,453.09,456.56,3.47,0.77
BB01,Christ Church,sample_0170,438.51,442.19,3.68,0.84
BB01,Christ Church,sample_0171,440.24,438.56,-1.69,-0.38
BB01,Christ Church,sample_0172,656.0,660.1,4.1,0.62
BB01,Christ Church,sample_0173,344.01,353.01,9.0,2.62
BB01,Christ Church,sample_0174,446.82,451.75,4.94,1.11
BB01,Christ Church,sample_0175,451.61,451.39,-0.22,-0.05
BB01,Christ Church,sample_0176,544.87,548.94,4.06,0.75
BB01,Christ Church,sample_0177,481.12,478.51,-2.61,-0.54
BB01,Christ Church,sample_0178,457.73,459.92,2.19,0.48
BB01,Christ Church,sample_0179,470.71,471.13,0.41,0.09
BB01,Christ Church,sample_0180,600.14,597.98,-2.16,-0.36
BB01,Christ Church,sample_0181,518.68,524.77,6.1,1.18
BB01,Christ Church,sample_0182,582.3,587.42,5.12,0.88
BB01,Christ Church,sample_0183,435.88,437.77,1.9,0.44
BB01,Christ Church,sample_0184,474.22,479.74,5.52,1.16
BB01,Christ Church,sample_0185,474.22,479.74,5.52,1.16
BB01,Christ Church,sample_0186,399.05,401.36,2.31,0.58
BB01,Christ Church,sample_0187,621.87,625.86,3.98,0.64
BB01,Christ Church,sample_0188,520.28,521.56,1.28,0.25
BB01,Christ Church,sample_0189,633.52,635.1,1.58,0.25
BB01,Christ Church,sample_0190,626.86,628.47,1.6,0.26
BB01,Christ Church,sample_0191,686.92,689.53,2.61,0.38
BB01,Christ Church,sample_0192,477.95,480.71,2.76,0.58
BB01,Christ Church,sample_0193,599.3,602.09,2.8,0.47
BB01,Christ Church,sample_0194,432.69,433.45,0.76,0.18
BB01,Christ Church,sample_0195,443.32,448.82,5.5,1.24
BB01,Christ Church,sample_0196,813.43,812.13,-1.29,-0.16
BB01,Christ Church,sample_0197,1014.18,1018.05,3.87,0.38
BB01,Christ Church,sample_0198,923.27,924.58,1.31,0.14
BB01,Christ Church,sample_0199,710.56,716.61,6.05,0.85
BB01,Christ Church,sample_0200,882.07,884.08,2.01,0.23
BB02,Saint Andrew,sample_0001,1090.34,1087.14,-3.2,-0.29
BB02,Saint Andrew,sample_0002,0.0,0.17,0.17,
BB02,Saint Andrew,sample_0003,0.0,0.43,0.43,
BB02,Saint Andrew,sample_0004,0.0,0.81,0.81,
BB02,Saint Andrew,sample_0005,0.05,4.6,4.54,8503.49
BB02,Saint Andrew,sample_0006,4.05,9.04,4.99,123.29
BB02,Saint Andrew,sample_0007,5.46,8.83,3.37,61.77
BB02,Saint Andrew,sample_0008,2.05,4.46,2.42,118.23
BB02,Saint Andrew,sample_0009,5.99,10.5,4.5,75.11
BB02,Saint Andrew,sample_0010,14.03,17.15,3.13,22.29
BB02,Saint Andrew,sample_0011,0.0,0.0,0.0,
BB02,Saint Andrew,sample_0012,15.56,16.29,0.73,4.68
BB02,Saint Andrew,sample_0013,8.36,12.39,4.03,48.2
BB02,Saint Andrew,sample_0014,28.81,32.64,3.83,13.29
BB02,Saint Andrew,sample_0015,22.36,23.87,1.51,6.74
BB02,Saint Andrew,sample_0016,9.17,10.59,1.42,15.48
BB02,Saint Andrew,sample_0017,28.73,41.19,12.46,43.35
BB02,Saint Andrew,sample_0018,0.0,0.0,0.0,
BB02,Saint Andrew,sample_0019,21.46,28.52,7.06,32.88
BB02,Saint Andrew,sample_0020,23.81,30.09,6.28,26.36
BB02,Saint Andrew,sample_0021,66.34,64.81,-1.53,-2.31
BB02,Saint Andrew,sample_0022,16.51,20.0,3.5,21.18
BB02,Saint Andrew,sample_0023,43.02,49.07,6.05,14.06
BB02,Saint Andrew,sample_0024,30.85,36.27,5.42,17.56
BB02,Saint Andrew,sample_0025,52.81,56.73,3.92,7.43
